rank,id,name,number,dna_value,rarity_score,status
75,da8e456aa9e821b1d98cf164ad4ed2f8ab474088ad3c273108d4f48efd7d6a8di3,OrdiMutants #57,57.0,Gen 1,387.4700630170245,legendary
76,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i7,OrdiMutants #559,559.0,Gen 1,379.5247656576346,legendary
77,da8e456aa9e821b1d98cf164ad4ed2f8ab474088ad3c273108d4f48efd7d6a8di8,OrdiMutants #419,419.0,Gen 1,377.8436667020589,legendary
78,7f6324011a38490702ec32f8c0110bb2e5ce10b9db7b0f2e5b1ab359aed63a43i0,ORDIMUTANT OG#90,90.0,OG,369.685071972726,legendary
79,c8b982bfc5c3e918068ba8c190a3d09fa9ea6e6961cfaa873156fd6d0055ec7di0,ORDIMUTANT OG#139,139.0,OG,369.1138666305143,legendary
80,2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei4,OrdiMutants #2732,2732.0,Gen 1,367.3670468469251,legendary
81,e89e1d83af5e44ace0546c74f9eff4d0415bd7368426c212cc863cfe7387c342i0,ORDIMUTANT OG#63,63.0,OG,367.1628468333791,legendary
82,3095887e909d05752d27fccd023a9a6bd50156eb86ff56cebedb7bcf24bd26b0i0,ORDIMUTANT OG#46,46.0,OG,365.9248752236856,legendary
83,78530d300e32910c8e71999897e2cefbe276979d55e705b18fb5e73119570924i0,OrdiMutants #323,323.0,Gen 1,363.1448194858297,legendary
84,d677278448aef01287c3cc56f5644b7e61a021df650abc4b3b9b5b99e882f5d6i2,OrdiMutants #73,73.0,Gen 1,361.9908439382654,legendary
85,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i0,OrdiMutants #74,74.0,Gen 1,361.39751004082086,legendary
86,9b8699fbf503e828e23ec4121627f6a9125e5c71b4aa19848bc64a451d2c3055i2,OrdiMutants #514,514.0,Gen 1,360.3264631798665,legendary
87,aac941af1543aba25f79b2c89d9b1a981fa3b8d0ba2a7cb3a6fae7d9c03b2743i0,ORDIMUTANT OG#24,24.0,OG,359.22802877945134,legendary
88,610e0fdacf7f8c01cbee01dd49c309c458e31861f48b2be34fe9cd0c1051aaa4i7,OrdiMutants #391,391.0,Gen 1,358.1191720572366,legendary
89,6d55b9a47caa602b79e0a869bb19cd0f42f40b294cb14a3ac3b21d18ed0bc57ei0,ORDIMUTANT OG#9,9.0,OG,356.7254192036724,legendary
